Sample,Mean Wind Power,Standard Deviation,Average,Variability,NN output,MSE
176,719.9216667,581.1721362,0.071992167,0.193724045,,0.008431422
177,2821.622917,640.0384517,0.282162292,0.213346151,,
178,4737.809167,829.074477,0.473780917,0.276358159,,
179,6063.520833,1001.836344,0.606352083,0.333945448,,
180,5148.452083,785.8483658,0.514845208,0.261949455,,
181,4403.704167,768.4932741,0.440370417,0.256164425,,
182,6943.214167,1045.855561,0.694321417,0.34861852,,
183,3205.9025,1461.54318,0.32059025,0.48718106,,
184,682.02375,402.8639602,0.068202375,0.134287987,,
185,3954.3825,978.4107128,0.39543825,0.326136904,,
186,4026.870417,909.3646094,0.402687042,0.303121536,,
187,3955.339583,849.025246,0.395533958,0.283008415,,
188,3281.326667,1320.323327,0.328132667,0.440107776,,
189,5752.826667,1521.720023,0.575282667,0.507240008,,
190,1041.34,870.0618896,0.104134,0.29002063,,
191,3727.482083,1398.844816,0.372748208,0.466281605,,
192,3518.27,1896.622614,0.351827,0.632207538,,
193,1752.193333,524.1339786,0.175219333,0.174711326,,
194,2886.715417,979.1255383,0.288671542,0.326375179,,
195,4926.5725,2018.894989,0.49265725,0.672964996,,
196,2836.6775,1156.129009,0.28366775,0.385376336,,
197,318.44625,236.0115621,0.031844625,0.078670521,,
198,1139.40625,923.754548,0.113940625,0.307918183,,
199,3878.1225,1010.890058,0.38781225,0.336963353,,
200,3520.217083,872.2471017,0.352021708,0.290749034,,
201,4685.538333,684.0425084,0.468553833,0.228014169,,
202,4061.705,1068.13317,0.4061705,0.35604439,,
203,3903.3025,878.6034008,0.39033025,0.2928678,,
204,2228.23125,1279.469519,0.222823125,0.42648984,,
205,2683.097083,967.621333,0.268309708,0.322540444,,
206,3690.502083,2135.744659,0.369050208,0.711914886,,
207,2303.970417,695.5211805,0.230397042,0.231840393,,
208,5981.884167,1261.478197,0.598188417,0.420492732,,
209,2015.399583,1116.129723,0.201539958,0.372043241,,
210,1136.60875,402.9178035,0.113660875,0.134305935,,
211,565.0179167,338.4477045,0.056501792,0.112815902,,
212,442.5695833,115.1686626,0.044256958,0.038389554,,
213,268.1983333,190.7294876,0.026819833,0.063576496,,
214,352.4820833,225.9788715,0.035248208,0.075326291,,
215,620.2554167,413.0348142,0.062025542,0.137678271,,
216,697.78625,288.9842092,0.069778625,0.09632807,,
217,608.195,361.0709319,0.0608195,0.120356977,,
218,1471.61125,189.2915843,0.147161125,0.063097195,,
219,2067.707917,311.6191726,0.206770792,0.103873058,,
220,1515.862917,483.4073607,0.151586292,0.161135787,,
221,1865.9475,639.3047513,0.18659475,0.213101584,,
222,1216.27375,684.0751395,0.121627375,0.228025047,,
223,4145.110833,1166.285387,0.414511083,0.388761796,,
224,2827.4025,963.9332415,0.28274025,0.32131108,,
225,1611.542083,469.9541311,0.161154208,0.156651377,,
226,1894.35875,524.2027974,0.189435875,0.174734266,,
227,2312.0475,588.0291833,0.23120475,0.196009728,,
228,1268.843333,540.5915471,0.126884333,0.180197182,,
229,1053.67,590.7074472,0.105367,0.196902482,,
230,1937.15375,774.6667655,0.193715375,0.258222255,,
231,1429.833333,736.3681777,0.142983333,0.245456059,,
232,1972.878333,509.2131952,0.197287833,0.169737732,,
233,2407.66125,1098.746204,0.240766125,0.366248735,,
234,795.44625,495.3138809,0.079544625,0.165104627,,
235,2881.379167,1107.931809,0.288137917,0.369310603,,
236,3432.310833,925.3103026,0.343231083,0.308436768,,
237,2415.990833,485.6783975,0.241599083,0.161892799,,
238,1331.8275,1020.516004,0.13318275,0.340172001,,
239,914.4166667,514.7637395,0.091441667,0.171587913,,
240,2302.3375,480.978035,0.23023375,0.160326012,,
241,2817.798333,570.0821854,0.281779833,0.190027395,,
242,1995.567083,380.8826642,0.199556708,0.126960888,,
243,3905.390833,768.8665456,0.390539083,0.256288849,,
244,2861.406667,982.101344,0.286140667,0.327367115,,
245,1650.094167,694.7486516,0.165009417,0.231582884,,
246,4997.003333,974.4673452,0.499700333,0.324822448,,
247,5808.162083,923.6861048,0.580816208,0.307895368,,
248,3309.177083,1102.618767,0.330917708,0.367539589,,
249,1754.148333,599.591647,0.175414833,0.199863882,,
250,2796.153333,1258.39897,0.279615333,0.419466323,,
251,5012.529583,725.3942381,0.501252958,0.241798079,,
252,3975.81875,719.8554092,0.397581875,0.239951803,,
253,6605.100833,1548.798538,0.660510083,0.516266179,,
254,2412.115417,857.109302,0.241211542,0.285703101,,
255,1105.424583,266.4616062,0.110542458,0.088820535,,
256,3165.744583,1048.685071,0.316574458,0.34956169,,
257,2359.55625,1231.331954,0.235955625,0.410443985,,
258,1764.5425,752.7948895,0.17645425,0.25093163,,
259,1494.37625,632.6212276,0.149437625,0.210873743,,
260,1425.612083,1096.492288,0.142561208,0.365497429,,
261,3257.972083,1696.947143,0.325797208,0.565649048,,
262,7246.169583,585.4945793,0.724616958,0.19516486,,
263,5514.680417,1072.063789,0.551468042,0.357354596,,
264,5040.908333,1363.855206,0.504090833,0.454618402,,
265,1868.775,1225.723758,0.1868775,0.408574586,,
266,4385.027917,824.6352076,0.438502792,0.274878403,,
267,3821.779583,799.434934,0.382177958,0.266478311,,
268,1725.73625,1400.647109,0.172573625,0.46688237,,
269,3435.866667,1079.648921,0.343586667,0.359882974,,
270,3650.88,843.2807628,0.365088,0.281093588,,
271,1611.5075,801.3362,0.16115075,0.267112067,,
272,2104.745,1072.498857,0.2104745,0.357499619,,
273,4640.169583,523.5694354,0.464016958,0.174523145,,
274,3129.2125,1230.955905,0.31292125,0.410318635,,
275,2872.389167,1440.915074,0.287238917,0.480305025,,
276,8735.477083,1092.594647,0.873547708,0.364198216,,
277,6324.456667,1642.79087,0.632445667,0.547596957,,
278,3976.563333,1308.340953,0.397656333,0.436113651,,
279,5651.058333,856.5032502,0.565105833,0.285501083,,
280,6343.516667,1390.074875,0.634351667,0.463358292,,
281,3862.7175,1517.636903,0.38627175,0.505878968,,
282,2048.402083,774.3336495,0.204840208,0.258111216,,
283,1455.305,667.1163054,0.1455305,0.222372102,,
284,2927.359167,1894.109393,0.292735917,0.631369798,,
285,5630.326667,1566.146547,0.563032667,0.522048849,,
286,4568.430833,2841.916267,0.456843083,0.947305422,,
287,7562.0725,539.9902101,0.75620725,0.179996737,,
288,3663.590833,1378.251035,0.366359083,0.459417012,,
