"Market Day	",Hour Ending,MWh
41662,23,8073.38
41662,24,8670.14
41663,1,8801.77
41663,2,8404.97
41663,3,8601.29
41663,4,8683.05
41663,5,9069.34
41663,6,8910.48
41663,7,9313.32
41663,8,9204.11
41663,9,9226.76
41663,10,9093.5
41663,11,8019.55
41663,12,8214.18
41663,13,8233.76
41663,14,8205.22
41663,15,8109.61
41663,16,8321.34
41663,17,8520.91
41663,18,8440.24
41663,19,8635.38
41663,20,8517.69
41663,21,8644.33
41663,22,8422.91
41663,23,8292.93
41663,24,8001.59
41664,1,7299.67
41664,2,6838.62
41664,3,6610.64
41664,4,6616.99
41664,5,6152.66
41664,6,6387.95
41664,7,6750.66
41664,8,7021.19
41664,9,7012.92
41664,10,7056.32
41664,11,7433.88
41664,12,7270.69
41664,13,6953.64
41664,14,6650.43
41664,15,6396.31
41664,16,6070.16
41664,17,5561.12
41664,18,4604.71
41664,19,3671.48
41664,20,3819.9
41664,21,4270.86
41664,22,4518.7
41664,23,4904.84
41664,24,4456.36
41665,1,4315.51
41665,2,4667.64
41665,3,5054.23
41665,4,5290.33
41665,5,5212.43
41665,6,5790.87
41665,7,5334.48
41665,8,5974.98
41665,9,6102.51
41665,10,5994.7
41665,11,5656.02
41665,12,6161.09
41665,13,6514.24
41665,14,7036.53
41665,15,7018.91
41665,16,7610.72
41665,17,7565.62
41665,18,7418.31
41665,19,7629.77
41665,20,7825
41665,21,8329.51
41665,22,8529.05
41665,23,9241.2
41665,24,9472.59
41666,1,9408.2
41666,2,9506.92
41666,3,9346.32
41666,4,9306.95
41666,5,9185.24
41666,6,8951.94
41666,7,8726.92
41666,8,8300.22
41666,9,7811.63
41666,10,7650.11
41666,11,7894.09
41666,12,7521.43
41666,13,7119.22
41666,14,6693.12
41666,15,6432.9
41666,16,6011.31
41666,17,5488.37
41666,18,4808.31
41666,19,4262.83
41666,20,3988.34
41666,21,4327.2
41666,22,4651.07
41666,23,4352.81
41666,24,4060.75
41667,1,3853.64
41667,2,3786.24
41667,3,3963.08
41667,4,4127.76
41667,5,4570.3
41667,6,5020.26
41667,7,5397.78
41667,8,5931.09
41667,9,6001.23
41667,10,5644.68
41667,11,4531.76
41667,12,4832.24
41667,13,5606.44
41667,14,6062.81
41667,15,6218.56
41667,16,6246.26
41667,17,6146.38
41667,18,5612.46
41667,19,4797.93
41667,20,4885.25
41667,21,5040.9
41667,22,4856.91
41667,23,4870.38
41667,24,5171.53
41668,1,5765.27
41668,2,6939.75
41668,3,8080.91
41668,4,8834.21
41668,5,9362.37
41668,6,9377.94
41668,7,9065.86
41668,8,8876.64
41668,9,8899.35
41668,10,8964.41
41668,11,7744.65
41668,12,7566.48
41668,13,8401.66
41668,14,8945.4
41668,15,9249.01
41668,16,9545.84
41668,17,9511.5
41668,18,9216.26
41668,19,8892
41668,20,8907.43
41668,21,8831.34
41668,22,8972.12
41668,23,9101.72
41668,24,8972.73
41669,1,8674.04
41669,2,8292.3
41669,3,8208.23
41669,4,8366.35
41669,5,8517.16
41669,6,8605.55
41669,7,8897.98
41669,8,9098.75
41669,9,8962.03
41669,10,8747.36
41669,11,8523.86
41669,12,8768.45
41669,13,8917.03
41669,14,9046.14
41669,15,9106.77
41669,16,8998.68
41669,17,8744.52
41669,18,8125.12
41669,19,7217.06
41669,20,6334.11
41669,21,6184.79
41669,22,6284.47
41669,23,6530.74
41669,24,6484.04
41670,1,6060.16
41670,2,5700.7
41670,3,5242.41
41670,4,4663.07
41670,5,3990.94
41670,6,3064.58
41670,7,2014.2
41670,8,1553.88
41670,9,1392.97
41670,10,1527.74
41670,11,1879.53
41670,12,1743.02
41670,13,1659.32
41670,14,1807.77
41670,15,1624.84
41670,16,1473.35
41670,17,1456.55
41670,18,1331.11
41670,19,1546.17
41670,20,2096.76
41670,21,2825.82
41670,22,3281.27
